Player Name,Age,Position,Current Club,Club Ranking Group,Club Rankings,Valuation,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,England,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Ederson,29,Goalkeeper,Manchester City,One_Five,1,70,3420,1710,1710,Brazil,No,38,19,19,0,0,0,1,1,0,0,0,20,9,11,23,12,11,2,0,0.03,0.03,0,0,0,0,0.61,149,90,1710,3420,0.05,366,240,13,21
Kyle Walker,32,Defender,Manchester City,One_Five,1,50,2777,1245,1532,England,Yes,33,15,18,1,1,0,1,0,1,0,0,18,7,11,17,9,8,3,0,0.06,0.03,0.03,0.07,0,2777,0.55,163,84,926,2777,0.1,250,248,10,14
Raheem Sterling,27,Forward,Manchester City,One_Five,1,140,2777,1256,1521,England,Yes,34,16,18,17,12,5,10,6,4,0,0,18,7,11,19,9,10,3,0,0.88,0.32,0.55,0.86,0.3,163,0.62,146,82,926,278,0.1,12,14,-1,2
Vincent Kompany,36,Defender,Manchester City,One_Five,1,8,1223,561,662,Belgium,No,17,8,9,1,1,0,0,0,0,0,0,7,3,4,7,3,4,6,0,0.07,0,0.07,0.16,0,1223,0.52,175,72,204,0,0.44,194,384,7,12
Alisson Becker,30,Goalkeeper,Liverpool,One_Five,2,80,3420,1710,1710,Brazil,No,38,19,19,0,0,0,0,0,0,0,0,21,12,9,19,8,11,1,0,0,0,0,0,0,0,0.5,180,90,3420,0,0.03,417,387,3,16
Andrew Robertson,28,Defender,Liverpool,One_Five,2,60,3219,1599,1620,Scotland,No,36,18,18,0,0,0,11,9,2,0,0,21,12,9,17,7,10,4,0,0.31,0.31,0,0,0,0,0.48,189,89,805,293,0.11,418,19,2,20
James Milner,36,Midfielder,Liverpool,One_Five,2,15,1785,646,1139,England,Yes,31,12,19,5,0,5,4,2,2,3,0,18,9,9,11,4,7,7,1,0.45,0.2,0.25,0,0.4,357,0.55,162,58,255,446,0.35,81,65,-1,5
Sadio Mané,30,Forward,Liverpool,One_Five,2,120,3086,1643,1443,Senegal,No,36,19,17,22,18,4,1,0,1,0,0,20,12,8,18,8,10,2,0,0.67,0.03,0.64,0.99,0.25,140,0.52,171,86,1543,3086,0.06,4,249,-1,1
Xherdan Shaqiri,31,Midfielder,Liverpool,One_Five,2,25,1058,538,520,Switzerland,No,24,12,12,6,5,1,3,0,3,0,0,12,7,5,5,3,2,2,0,0.77,0.26,0.51,0.84,0.17,176,0.43,212,44,529,353,0.17,15,39,-1,4
Gonzalo Higuain,34,Forward,Chelsea,One_Five,3,35,1092,496,596,Argentina,No,14,6,8,5,4,1,0,0,0,0,0,5,4,1,15,3,12,0,0,0.41,0,0.41,0.73,0.15,218,1.24,73,78,0,0,0,33,306,-1,5
Kepa Arrizabalaga,28,Goalkeeper,Chelsea,One_Five,3,60,3240,1620,1620,Spain,No,36,18,18,0,0,0,0,0,0,0,0,14,9,5,38,12,26,2,0,0,0,0,0,0,0,1.06,85,90,1620,0,0.06,364,363,39,24
Willian,34,Forward,Chelsea,One_Five,3,40,2108,833,1275,Brazil,No,32,15,17,3,2,1,6,3,3,0,0,13,7,6,23,6,17,2,0,0.38,0.26,0.13,0.22,0.07,703,0.98,92,66,1054,351,0.09,132,36,-1,8
Harry Kane,29,Forward,Tottenham Hotspur,One_Five,4,150,2427,1066,1361,England,Yes,28,12,16,17,6,11,4,2,2,4,0,10,4,6,28,10,18,5,0,0.78,0.15,0.63,0.51,0.73,143,1.04,87,87,485,607,0.19,5,94,-1,1
Heung-Min Son,30,Forward,Tottenham Hotspur,One_Five,4,80,2048,1161,887,South Korea,No,31,16,15,12,8,4,6,2,4,0,0,11,7,4,20,8,12,3,1,0.79,0.26,0.53,0.62,0.41,171,0.88,102,66,512,341,0.18,14,34,-1,2
Hugo Lloris,35,Goalkeeper,Tottenham Hotspur,One_Five,4,25,2970,1620,1350,France,No,33,18,15,0,0,0,0,0,0,0,0,12,7,5,30,13,17,0,0,0,0,0,0,0,0,0.91,99,90,0,0,0,339,284,21,19
Moussa Sissoko,33,Midfielder,Tottenham Hotspur,One_Five,4,25,2336,1187,1149,France,No,29,15,14,0,0,0,3,2,1,0,0,11,6,5,26,10,16,2,0,0.12,0.12,0,0,0,0,1,90,81,1168,779,0.08,354,131,-1,25
Aaron Ramsey,31,Midfielder,Arsenal,One_Five,5,40,1327,689,638,Wales,No,28,14,14,4,2,2,6,5,1,0,0,7,6,1,12,2,10,0,0,0.68,0.41,0.27,0.26,0.28,332,0.81,111,47,0,221,0,69,8,-1,5
Alex Iwobi,26,Forward,Arsenal,One_Five,5,25,1972,742,1230,Nigeria,No,35,18,17,3,1,2,6,3,3,0,0,8,7,1,31,8,23,0,0,0.41,0.27,0.14,0.12,0.15,657,1.41,64,56,0,329,0,128,31,-1,8
Bernd Leno,30,Goalkeeper,Arsenal,One_Five,5,30,2835,1395,1440,Germany,No,32,16,16,0,0,0,0,0,0,0,0,7,6,1,39,12,27,0,0,0,0,0,0,0,0,1.24,73,89,0,0,0,390,413,76,23
Granit Xhaka,30,Midfielder,Arsenal,One_Five,5,45,2502,1317,1185,Switzerland,No,29,15,14,4,2,2,2,0,2,0,0,7,6,1,35,11,24,10,0,0.22,0.07,0.14,0.14,0.15,626,1.26,71,86,250,1251,0.36,127,183,-1,6
Nacho Monreal,36,Defender,Arsenal,One_Five,5,8,1861,781,1080,Spain,No,22,10,12,1,1,0,3,0,3,0,0,6,5,1,21,3,18,5,0,0.19,0.15,0.05,0.12,0,1861,1.02,89,85,372,620,0.24,222,98,37,11
Sead Kolašinac,29,Defender,Arsenal,One_Five,5,20,1891,1127,764,Bosnia and Herzegovina,No,24,14,10,0,0,0,5,3,2,0,0,5,5,0,26,10,16,5,0,0.24,0.24,0,0,0,0,1.24,73,79,378,378,0.24,285,45,75,22
Anthony Martial,26,Forward,Manchester United,Six_Ten,6,60,1623,743,880,France,No,27,11,16,10,4,6,2,1,1,1,0,5,1,4,25,8,17,2,0,0.67,0.11,0.55,0.48,0.61,162,1.39,65,60,812,812,0.11,13,141,-1,4
David de Gea,31,Goalkeeper,Manchester United,Six_Ten,6,65,3420,1710,1710,Spain,No,38,19,19,0,0,0,0,0,0,0,0,7,2,5,51,23,28,1,0,0,0,0,0,0,0,1.34,67,90,3420,0,0.03,310,419,91,18
Fred,29,Midfielder,Manchester United,Six_Ten,6,30,1045,577,468,Brazil,No,17,9,8,1,1,0,1,0,1,0,0,0,0,0,19,8,11,2,0,0.17,0.09,0.09,0.16,0,1045,1.64,55,61,523,1045,0.17,178,156,-1,12
